## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
TP53	85	-66	1	0	454	154	12	-6
CD274	61	-64	2	0	274	106	31	-26
ACE2	55	-48	3	0	221	44	61	12
APOE	53	-14	4	3	494	102	8	1
IL6	50	-38	5	-1	275	75	29	-11
STAT3	50	-21	5	0	78	16	229	27
HIF1A	48	-12	7	3	163	90	93	-72
EGFR	44	-27	8	-3	307	65	24	-3
NFE2L2	44	-8	8	7	139	40	117	-5
METTL3	40	2	10	27	12	4	1428	158
TGFB1	37	-16	11	2	81	3	223	70
YAP1	37	-5	11	19	56	36	340	-248
KRAS	36	-26	13	-4	226	107	58	-41
EZH2	34	-10	14	13	42	22	456	-135
TNF	34	-16	14	6	497	134	7	-3
ESR1	32	-10	16	14	63	28	295	-59
ERBB2	31	-12	17	11	17	6	1043	80
IL10	31	-8	17	19	133	57	123	-34
SIRT1	30	-16	19	3	72	18	254	28
CTNNB1	29	-34	20	-12	14	1	1242	389
MMP9	29	-9	20	17	97	52	179	-102
MTHFR	29	-8	20	21	186	72	82	-20
BRAF	28	-14	23	7	186	63	83	-9
MTOR	28	-5	23	27	404	102	14	-3
SNCA	28	-23	23	-4	261	124	38	-39
VDR	28	-21	23	-2	65	30	287	-62
BRCA1	27	-25	27	-12	243	17	48	16
IL1B	27	-7	27	21	156	70	98	-38
MIR21	27	-15	27	3	16	7	1161	-84
APP	26	0	30	60	91	42	192	-64
BDNF	26	-20	30	-8	384	64	19	4
MYC	26	-26	30	-15	305	95	25	-10
PTEN	26	-19	30	-6	118	37	144	2
VEGFA	26	-28	30	-18	48	26	401	-136
CDH1	25	-6	35	21	5	3	2779	-609
MAPT	25	-10	35	9	249	75	45	-5
TLR4	25	-20	35	-11	13	-4	1377	683
ADIPOQ	25	0	35	72	132	21	124	16
NLRP3	25	-27	35	-20	73	6	252	73
AKT1	24	-6	40	20	75	33	244	-54
AR	24	-7	40	16	252	80	42	-11
NFKB1	24	0	40	83	20	-3	922	396
TARDBP	24	-29	40	-27	73	36	253	-81
IDH1	22	-7	44	25	57	33	333	-172
LGALS3	22	-6	44	30	55	36	350	-267
CHI3L1	20	-2	46	119	31	15	608	-124
HSP90AA1	20	-18	46	-9	3	2	4026	-970
PKM	20	-12	46	8	27	18	692	-527
SOD1	20	-3	46	98	52	25	373	-84
SOX2	20	-7	46	34	58	29	325	-106
TERT	20	-10	46	14	66	12	283	53
SIRT6	20	7	46	850	41	9	479	86
IL33	20	-6	46	44	32	17	593	-204
PCSK9	20	-10	46	14	257	74	40	-6
MALAT1	20	-15	46	-2	24	-7	786	378
MIR145	20	-5	46	61	4	2	3285	-178
BRCA2	19	-24	57	-29	82	-6	220	87
IGF1	19	-17	57	-15	462	112	10	-1
IL17A	19	-40	57	-46	61	32	304	-131
LDHA	19	-3	57	108	18	2	1017	273
NOTCH1	19	-5	57	66	49	28	399	-176
PDCD1	19	-9	57	17	249	101	44	-27
PPARG	19	0	57	221	152	58	104	-25
CXCR4	19	-14	57	-7	100	39	174	-31
STUB1	19	-9	57	17	0	-1	9311	4153
IGF2BP2	19	-11	57	3	2	1	5386	-157
PARP1	18	-22	67	-33	75	36	241	-72
CDKN2A	18	-16	67	-19	215	75	63	-11
CTLA4	18	-3	67	123	240	97	50	-23
ELAVL1	18	-10	67	7	10	9	1663	-3074
HMGB1	18	-27	67	-43	60	2	309	94
FOXA1	18	11	67	3935	14	9	1286	-638
HSPA8	18	-17	67	-23	20	13	912	-517
LCN2	18	-6	67	56	50	18	390	-2
LEP	18	-2	67	166	523	80	4	0
LMNA	18	-7	67	40	16	-15	1108	707
MKI67	18	-7	67	40	276	138	28	-48
SF3B1	18	-12	67	-7	13	8	1385	-589
HOTAIR	18	-7	67	40	17	13	1104	-1405
CDK1	17	-4	80	110	33	-3	566	228
CDKN1A	17	3	80	652	186	70	81	-19
DNMT3A	17	-1	80	240	18	4	1005	183
FOXO3	17	-2	80	198	51	15	376	36
HK2	17	1	80	402	19	1	944	312
HNRNPA1	17	-11	80	-6	3	0	4127	1330
IFNG	17	-4	80	110	0	0
CXCL8	17	-7	80	43	152	74	103	-48
IL18	17	0	80	306	68	31	269	-62
LPA	17	4	80	816	143	20	111	21
MMP2	17	-4	80	110	36	9	537	81
CCL2	17	-3	80	153	131	66	125	-61
STAT1	17	1	80	402	44	8	433	88
VCP	17	-9	80	10	25	12	751	-135
YY1	17	3	80	652	5	-3	3000	1640
APLN	17	8	80	2135	29	14	632	-126
FGF21	17	-1	80	240	50	22	386	-59
FTO	17	-9	80	10	97	56	180	-124
ADAR	16	-7	98	46	52	4	371	110
ALDH2	16	-9	98	9	86	17	205	35
ANXA2	16	-5	98	92	27	22	688	-1228
BSG	16	-1	98	288	21	2	869	267
CAV1	16	-1	98	288	13	8	1336	-489
DNMT1	16	-2	98	222	27	-8	683	326
HDAC1	16	-10	98	-8	26	22	714	-1600
HSPA4	16	-14	98	-38	4	3	3334	-1659
HSPA5	16	-19	98	-54	61	36	303	-189
IGF1R	16	-5	98	92	42	24	454	-187
JUN	16	6	98	1605	9	7	1763	-1487
SMAD4	16	-5	98	92	18	6	988	87
NCL	16	-5	98	92	23	16	817	-662
YBX1	16	-11	98	-18	11	8	1630	-1601
PTBP1	16	-11	98	-18	7	6	2229	-2795
TMPRSS2	16	-10	98	-8	38	12	512	38
TRIM25	16	-2	98	222	1	-3	7023	4669
USP7	16	-13	98	-29	7	-2	2328	1099
ARID1A	16	-9	98	9	17	3	1094	254
SQSTM1	16	-24	98	-64	36	24	543	-406
GDF15	16	-11	98	-18	58	32	326	-147
UBE2C	16	6	98	1605	5	4	3007	-2721
STING1	16	-14	98	-38	42	12	465	40
MIR497	16	5	98	1252	0	0
AHR	15	-3	122	198	143	79	112	-80
RHOA	15	-2	122	264	38	22	511	-210
CFTR	15	-18	122	-72	155	35	99	2
ACE	15	-5	122	111	206	76	69	-14
DNMT3B	15	1	122	610	5	2	2898	94
FASN	15	-9	122	1	0	0
GPX4	15	4	122	1228	36	5	535	139
NR3C1	15	-3	122	198	99	32	176	-2
