gene_symbol	wikipedia_daily_page_views	wikipedia_daily_page_views_change_from_previous_day	view_rank	view_rank_delta
INS	831	615	1	0
OXT	694	574	2	0
BAMBI	470	493	3	0
MTOR	468	344	4	0
CLOCK	409	338	5	0
ADAM22	389	224	6	4
AVP	379	330	7	-1
ANKH	345	320	8	-1
ACE2	342	213	9	3
SHH	339	297	10	-2
CRP	335	224	11	-2
EPO	331	215	12	-1
TNF	321	202	13	1
TTN	283	173	14	5
PRL	259	207	15	-2
LEP	253	197	16	-1
PTH	247	168	17	5
TP53	243	172	18	2
IFNG	242	146	19	10
IL6	229	194	20	-4
CAT	226	164	21	4
LTF	225	167	22	1
PSD2	212	83	23	56
PLAT	207	122	24	14
IL2	203	116	25	19
AK5	201	140	26	5
MUSK	198	191	27	-10
HTR2A	197	135	28	4
BRCA1	195	116	29	14
SST	194	129	30	6
EGFR	192	131	31	4
PRUNE	190	165	32	-8
SELV	186	80	33	50
CYP3A4	183	132	34	0
LYZ	183	121	35	5
CD274	181	100	36	17
KRAS	174	93	37	27
ERBB2	172	79	38	46
KLK3	172	65	39	83
ACHE	172	99	40	16
CD47	172	37	41	219
CD4	171	90	42	25
HECA	171	174	43	-25
MB	168	135	44	-11
MYC	166	150	45	-18
APOE	164	109	46	1
IGF1	164	144	47	-17
NFE2L2	163	66	48	73
PTPRC	163	80	49	32
PDCD1	161	68	50	62
B2M	159	59	51	85
AGT	158	150	52	-24
BDNF	157	168	53	-32
MAPT	157	114	54	-8
F2	156	118	55	-14
NPPA	153	122	56	-17
CYP2D6	149	153	57	-31
GHRL	149	117	58	-16
BCL2	145	104	59	-9
VWF	145	105	60	-11
GLA	145	85	61	15
IL1B	144	73	62	34
MKI67	144	78	63	24
MAOA	144	124	64	-27
FURIN	144	73	65	34
BRAF	142	72	66	34
HTR1A	140	68	67	46
CD19	138	72	68	33
ACE	137	91	69	-3
CTLA4	137	96	70	-9
CXCL8	134	57	71	69
HP	132	107	72	-24
TF	131	98	73	-15
ITCH	130	69	74	37
CCK	129	101	75	-23
SNCA	125	86	76	-5
CALCA	124	99	77	-22
CCL2	123	67	78	38
MYNN	123	97	79	-19
ICAM1	122	70	80	25
REN	122	104	81	-30
CD34	121	47	82	115
ASUN	121	70	83	24
SLC6A4	120	50	84	88
F8	116	67	85	32
ALB	115	87	86	-17
ABCB1	114	85	87	-14
TRPV1	113	76	88	2
MPO	112	37	89	166
NGF	112	94	90	-27
SHBG	111	79	91	-5
CTNNB1	109	64	92	32
HCRT	109	70	93	13
IL10	108	86	94	-24
DRD2	108	77	95	-7
CXCL10	108	36	96	169
MSTN	108	76	97	-6
FN1	107	59	98	37
MS4A1	107	93	99	-34
CD44	105	55	100	48
CYCS	105	71	101	2
HMGCR	104	80	102	-20
AK9	104	84	103	-26
CAMP	102	34	104	178
CDKN1A	100	52	105	55
CYP2C19	100	99	106	-52
SERPINC1	100	51	107	60
TLR4	99	61	108	21
ADRB2	99	98	109	-52
CCL4	99	37	110	149
RHO	98	60	111	21
GNRH1	98	95	112	-50
TNFSF10	97	69	113	-4
CYP19A1	97	79	114	-29
MPEG1	97	70	115	-7
NR3C1	96	64	116	9
EGF	96	59	117	17
HIF1A	95	52	118	41
AR	95	114	119	-74
ADIPOQ	95	55	120	27
IL4	95	45	121	83
MUC12	95	51	122	49
PCSK9	94	61	123	8
PRTG	91	54	124	30
APOB	90	63	125	2
ELN	90	55	126	25
CD38	90	42	127	95
NPPB	89	61	128	2
GAPDH	89	55	129	21
HAMP	89	58	130	7
SLC2A4	89	97	131	-72
CD68	89	29	132	195
SCT	89	81	133	-53
CFTR	87	85	134	-59
NLRP3	87	39	135	104
CP	87	48	136	56
CXCR4	86	39	137	96
SRMS	86	71	138	-34
SVOP	86	58	139	0
RB1	85	73	140	-43
LPL	85	52	141	20
TTR	85	55	142	7
DPP4	83	47	143	53
DDX25	83	76	144	-52
KIT	82	54	145	8
VIM	82	46	146	53
MC1R	82	48	147	39
G6PD	81	48	148	37
OPRM1	80	45	149	56
CSF2	80	43	150	63
TG	80	63	151	-23
GAST	80	75	152	-58
CDKN2A	79	35	153	116
PTEN	79	51	154	11
FOXP3	79	29	155	166
CD36	79	35	156	115
TNFSF11	78	57	157	-16
CYP1A2	78	86	158	-86
CRH	78	89	159	-91
CD69	78	36	160	108
MAGIX	78	76	161	-68
GFAP	77	40	162	68
GIF	77	57	163	-19
CD14	76	38	164	82
CCL5	76	36	165	98
HMGB1	76	41	166	60
PLG	75	67	167	-49
MYD88	75	39	168	70
CD24	75	68	169	-54
MUC16	75	48	170	21
FASLG	74	50	171	4
PPARG	73	45	172	29
CCR5	73	85	173	-99
CD40	73	44	174	35
SERPINA1	73	38	175	73
TMPRSS2	73	49	176	8
CXCL12	72	32	177	113
ADA	72	34	178	105
AFP	72	67	179	-60
CALCB	72	65	180	-57
GALP	72	40	181	51
HTR2C	71	68	182	-68
CD80	71	43	183	32
PF4	71	48	184	9
STAT3	70	38	185	59
PDGFRA	70	10	186	645
FOS	70	73	187	-89
ADRB1	70	83	188	-110
CD28	70	50	189	-12
POMC	70	48	190	-3
F3	69	64	191	-65
KCNH2	69	44	192	18
LPA	69	48	193	-4
ADAR	69	58	194	-56
CHRM2	69	39	195	45
INSR	68	74	196	-101
CSF3	68	51	197	-29
SRY	68	57	198	-55
P2RY12	68	30	199	117
OPRK1	68	48	200	-5
CYP2C9	67	77	201	-112
PAH	67	23	202	199
BTK	67	23	203	199
CXCL9	67	26	204	158
FOXP2	67	45	205	2
HRH1	67	31	206	101
SERPINE1	66	45	207	-4
CASP3	66	42	208	10
PROC	66	69	209	-99
VIP	66	60	210	-77
THY1	66	50	211	-32
PECAM1	65	49	212	-31
CXCL1	65	47	213	-15
PYY	65	44	214	-3
CPT1C	65	51	215	-46
EGFLAM	65	35	216	61
NPY	64	53	217	-60
PALM	64	37	218	44
SRC	63	38	219	26
AHR	63	20	220	240
CCND1	62	19	221	259
SPP1	62	32	222	69
TLR7	62	43	223	-9
SLC12A1	62	32	224	75
CD8B	62	39	225	17
UGT2B28	62	46	226	-26
RBFA	62	57	227	-82
ADAMTS13	61	39	228	9
MET	60	51	229	-63
SIRT1	60	39	230	6
C3	60	26	231	125
FASN	60	48	232	-42
TYR	60	56	233	-87
TNFRSF11A	60	57	234	-92
CD163	60	16	235	339
CHRM3	60	43	236	-20
CHAT	60	32	237	61
IGF1R	59	16	238	319
HTT	59	37	239	18
MME	59	50	240	-62
OXTR	59	49	241	-58
SERPING1	59	45	242	-36
TGFB1	58	66	243	-123
CD86	58	19	244	249
FCGRT	58	13	245	467
VEGFA	57	19	246	231
COMT	57	53	247	-92
IL13	57	50	248	-72
IL15	57	22	249	166
ADRB3	57	42	250	-29
TXN	57	24	251	136
