## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Gt(ROSA)26Sor	194	-155	1	0
Trp53	45	-25	2	1
Lyz2	39	-18	3	3
Nlrp3	34	-38	4	-2
Cx3cr1	32	-10	5	5
Mki67	32	-26	5	0
Apoe	31	-2	7	15
Kras	30	-10	8	7
Casp3	28	-35	9	-5
Sox2	26	-29	10	-3
Tlr4	25	-12	11	6
Nfe2l2	24	-17	12	1
Sox9	24	-15	12	4
Myd88	23	3	14	59
Pvalb	23	-31	14	-6
Ctnnb1	22	-20	16	-6
Psen1	21	1	17	56
Pten	21	-8	17	14
Mtor	21	-7	17	18
Eomes	20	-15	20	-1
Gli1	20	-4	20	28
Il6	20	-12	20	4
Pax6	20	-22	20	-10
Lepr	19	-18	24	-7
App	18	-6	25	23
Shh	18	-14	25	-1
Gfap	17	-8	27	17
Pdcd1	17	1	27	99
Pdgfra	17	-5	27	31
Foxp3	17	-7	27	21
Olig2	17	-3	27	46
Slc17a6	17	-12	27	4
Cdh1	16	-29	33	-24
Cdkn1a	16	-4	33	40
Hif1a	16	-18	33	-12
Pecam1	16	-25	33	-20
Chat	15	-5	37	36
Ccr2	15	-11	37	3
Gja1	15	-2	37	70
Il1b	15	-11	37	3
Mecp2	15	-1	37	89
Sst	15	-11	37	3
Sox10	15	3	37	188
Stat3	15	-20	37	-18
Tbr1	15	-12	37	-1
Tubb3	15	-6	37	30
Tlr2	15	-2	37	70
Mapk1	15	-4	37	50
Rbfox3	15	-12	37	-1
Bcl11b	15	-15	37	-9
Cd274	15	3	37	188
Sting1	15	-14	37	-6
Dnm1l	15	2	37	154
Acta2	14	-9	54	2
Apc	14	-17	54	-28
Cd19	14	-2	54	72
Dmd	14	-10	54	-6
Notch1	14	-2	54	72
Rag1	14	-7	54	13
Stat1	14	1	54	137
Tgfb1	14	-13	54	-18
Tnf	14	-4	54	42
Vegfa	14	-1	54	92
Wt1	14	3	54	239
Mapk3	14	-4	54	42
Speer6-ps1	14	-17	54	-28
Cgas	14	-4	54	42
Akt1	13	-7	68	5
Calb1	13	-7	68	5
Emx1	13	-17	68	-40
Gad1	13	-3	68	58
Ifng	13	-5	68	28
Il10	13	-9	68	-10
Pparg	13	-9	68	-10
Rela	13	-4	68	39
Rpl22	13	-1	68	96
Snca	13	-1	68	96
Vip	13	0	68	123
Yap1	13	-17	68	-40
Panx1	13	7	68	1676
Gsk3b	13	3	68	310
Sirt3	13	-6	68	19
Gsdmd	13	2	68	225
Tubg1	13	3	68	310
Tubg2	13	4	68	452
Tlr7	13	0	68	123
Ar	12	0	87	138
Arntl	12	-3	87	59
Bdnf	12	-4	87	39
Bmp4	12	2	87	291
Casp1	12	-1	87	104
Cnr1	12	-2	87	77
Col1a1	12	-9	87	-20
Gad2	12	-13	87	-43
Nr3c1	12	0	87	138
Ifnar1	12	-12	87	-39
Igf1	12	-3	87	59
Ighm	12	-3	87	59
Il17a	12	-9	87	-20
Ldlr	12	-5	87	20
Nos3	12	-2	87	77
Rag2	12	-5	87	20
Ripk1	12	-1	87	104
S100b	12	2	87	291
Slc32a1	12	-15	87	-51
Mettl3	12	0	87	138
Foxo1	12	-12	87	-39
A1cf	12	-1	87	104
H2az2	12	-2	87	77
Sirt1	12	-17	87	-56
Satb2	12	-13	87	-43
Agrp	11	-2	112	79
Ahr	11	-11	112	-54
Aif1	11	-1	112	113
Atoh1	11	-3	112	52
Runx2	11	-6	112	-5
Ccnd1	11	-5	112	14
Egfr	11	-1	112	113
Ezh2	11	-9	112	-39
Ccn2	11	-6	112	-5
Fmr1	11	-8	112	-25
Gata3	11	3	112	607
Cxcl10	11	3	112	607
Smad2	11	4	112	960
Mapt	11	-15	112	-72
Nos1	11	-3	112	52
P2rx7	11	0	112	181
Pax7	11	-6	112	-5
Reln	11	-3	112	52
Saa1	11	5	112	1632
Tfam	11	6	112	2874
Th	11	-11	112	-54
Nkx2-1	11	-3	112	52
Tnfrsf1b	11	1	112	266
Tsc2	11	1	112	266
Ripk3	11	-10	112	-45
Tsc1	11	0	112	181
Il33	11	-12	112	-56
Ern1	11	1	112	266
Ticam1	11	3	112	607
Asic1	10	10	141	4667
Aicda	10	2	141	578
Arg1	10	-1	141	152
Neurod6	10	-4	141	23
Calca	10	-2	141	84
Cd8a	10	2	141	578
Cdh2	10	-14	141	-93
Cnr2	10	2	141	578
Creb1	10	-3	141	50
Dlg4	10	-7	141	-34
Fas	10	0	141	237
Fgfr2	10	-2	141	84
Gba	10	1	141	379
Foxa2	10	-1	141	152
Hprt	10	-4	141	23
