## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Nfe2l2	14	-4	1	4
Nlrp3	14	-10	1	2
Bdnf	13	-12	3	-1
Tlr4	11	-8	4	0
P2rx7	11	3	4	34
Gsk3b	11	7	4	783
Sirt1	11	-17	4	-3
Hif1a	10	-4	8	-2
Pten	10	2	8	30
Vegfa	10	2	8	30
Gja1	9	-2	11	-2
Tp53	9	2	11	85
Trpv4	9	1	11	27
Grin2b	8	2	14	274
Hmox1	8	-2	14	0
Lepr	8	8	14	832
Ngfr	8	2	14	274
Stat3	8	-6	14	-8
Chrna7	8	1	14	82
Aqp2	8	2	14	274
Dpysl2	8	8	14	832
Notch1	8	-1	14	4
App	8	-1	14	4
Hsf2	8	8	14	832
Kl	8	3	14	568
Ctnnb1	8	4	14	773
Foxo1	8	-3	14	-5
Fgf23	8	3	14	568
Magi3	8	8	14	832
Xbp1	8	2	14	274
Pgrmc1	8	2	14	274
Nampt	8	5	14	831
H19	8	-1	14	4
Trpa1	8	3	14	568
Sox4	8	8	14	832
Bmp8b	8	8	14	832
Ryr2	8	8	14	832
Smurf1	8	8	14	832
Mir122	8	3	14	568
Mir132	8	0	14	24
Mir144	8	8	14	832
Mir20b	8	2	14	274
Mir136	8	8	14	832
Adcyap1	7	1	44	244
Adcyap1r1	7	7	44	802
Akt1	7	-2	44	-26
Cbs	7	7	44	802
Cebpb	7	7	44	802
Drd1	7	1	44	244
Grm1	7	0	44	52
Ins1	7	7	44	802
Ins2	7	7	44	802
Jak2	7	2	44	538
Nos2	7	1	44	244
Nos3	7	0	44	52
Npy	7	3	44	743
Slc2a1	7	7	44	802
Slc9a3	7	7	44	802
Stat5a	7	7	44	802
Fmr1	7	-1	44	-6
Adm	7	7	44	802
Hk1	7	7	44	802
Rgn	7	7	44	802
Drd5	7	1	44	244
Dpp4	7	-1	44	-6
Oxtr	7	-1	44	-6
Fosl1	7	7	44	802
Hmgb1	7	-2	44	-26
Irs1	7	7	44	802
Parp1	7	3	44	743
Pkm	7	1	44	244
Mc4r	7	7	44	802
Pde4a	7	7	44	802
Plat	7	7	44	802
Itgb7	7	7	44	802
Snca	7	0	44	52
Mecp2	7	0	44	52
Trpv2	7	0	44	52
Dlg4	7	7	44	802
Rpph1	7	7	44	802
Ntrk3	7	7	44	802
Arntl	7	1	44	244
P2rx4	7	2	44	538
Cacna1d	7	0	44	52
Slc7a5	7	7	44	802
Gata4	7	1	44	244
Pdp1	7	7	44	802
Tgm2	7	7	44	802
Mtor	7	-6	44	-36
Kcnk1	7	7	44	802
Cxcr4	7	0	44	52
Max	7	7	44	802
Tuba1a	7	7	44	802
Lsr	7	7	44	802
Mfn2	7	7	44	802
Scn9a	7	7	44	802
Asic1	7	0	44	52
Smad7	7	1	44	244
Mmp9	7	-1	44	-6
Pdpk1	7	7	44	802
Vdac1	7	7	44	802
Itgae	7	7	44	802
Fbn1	7	7	44	802
Trpv1	7	-1	44	-6
Ghsr	7	7	44	802
Ikbkb	7	7	44	802
Nox4	7	-1	44	-6
Trpc6	7	7	44	802
Taar1	7	7	44	802
Dnm1l	7	0	44	52
Wnt2	7	7	44	802
Dag1	7	0	44	52
Becn1	7	2	44	538
Slc26a3	7	7	44	802
Six1	7	7	44	802
F2rl1	7	7	44	802
Hmga1	7	7	44	802
Cand1	7	7	44	802
Fgf21	7	1	44	244
Gper1	7	-1	44	-6
Ero1a	7	7	44	802
Cxcl10	7	2	44	538
Ripk3	7	-3	44	-30
Fndc5	7	0	44	52
Il4	7	7	44	802
Adipor1	7	7	44	802
Serpinb1a	7	7	44	802
Fto	7	3	44	743
Nxt1	7	7	44	802
Pcsk9	7	1	44	244
Pin1	7	3	44	743
Irak4	7	7	44	802
Ace2	7	-2	44	-26
Kat2a	7	7	44	802
Mboat4	7	7	44	802
Ripk1	7	1	44	244
Tet1	7	2	44	538
Traf6	7	1	44	244
Abca1	7	7	44	802
Cmpk2	7	7	44	802
Macc1	7	7	44	802
Nxt2	7	7	44	802
Mettl3	7	7	44	802
Ahcyl1	7	7	44	802
Pck1	7	7	44	802
Brd4	7	7	44	802
Stat6	7	7	44	802
Pcbp2	7	7	44	802
Yap1	7	1	44	244
Stat4	7	7	44	802
S100a11	7	7	44	802
Cxcl16	7	7	44	802
Gpr55	7	7	44	802
Mat2b	7	7	44	802
Dedd2	7	7	44	802
Foxf1	7	7	44	802
Mir21	7	-3	44	-30
Mir154	7	7	44	802
Mir204	7	2	44	538
Mir223	7	7	44	802
Mir361	7	1	44	244
Mir124-3	7	1	44	244
Mir221	7	0	44	52
Mir192	7	7	44	802
Mir542	7	7	44	802
Mir20a	7	1	44	244
Mir10b	7	7	44	802
Mir29a	7	0	44	52
Mir205	7	0	44	52
Mir378	7	7	44	802
Mir375	7	0	44	52
Mir155	7	-2	44	-26
Avp	6	-1	173	-77
Bcl2	6	-1	173	-77
Cftr	6	6	173	673
Hspa1a	6	6	173	673
Igf1	6	-1	173	-77
Igfbp3	6	0	173	115
Il1b	6	-3	173	-155
Myc	6	6	173	673
Serpina1	6	6	173	673
Prss1	6	6	173	673
Ccl2	6	0	173	115
Sod1	6	6	173	673
Sp1	6	6	173	673
Serpina3c	6	6	173	673
Tac1	6	6	173	673
Vdr	6	6	173	673
Bax	6	0	173	115
Lox	6	6	173	673
Yy1	6	6	173	673
Gcg	6	6	173	673
Cyp2e1	6	2	173	614
Hsd11b1	6	6	173	673
Stat1	6	6	173	673
Gucy1b1	6	6	173	673
Aqp5	6	6	173	673
Dlg1	6	6	173	673
Anxa3	6	1	173	409
Il10	6	1	173	409
Asic2	6	-2	173	-135
Adora2a	6	6	173	673
Casp3	6	-1	173	-77
Hbegf	6	6	173	673
Icam1	6	6	173	673
Oxt	6	-1	173	-77
Hspa5	6	-1	173	-77
Smad3	6	-1	173	-77
Pparg	6	-3	173	-155
Igf1r	6	1	173	409
Hcrt	6	-1	173	-77
COX1	6	6	173	673
Hbp1	6	0	173	115
Myog	6	6	173	673
Maoa	6	0	173	115
Gpx4	6	0	173	115
Fgf7	6	1	173	409
Akt3	6	-1	173	-77
Ptp4a1	6	0	173	115
Npy4r	6	6	173	673
Gria2	6	0	173	115
Atp2a2	6	6	173	673
Slc8a1	6	1	173	409
Gria1	6	6	173	673
Fasn	6	6	173	673
Mapk3	6	0	173	115
Car3	6	2	173	614
Notch3	6	6	173	673
Grk6	6	6	173	673
Tgfb1	6	-3	173	-155
Smad5	6	6	173	673
Fxyd5	6	6	173	673
Ddah1	6	6	173	673
Slc5a2	6	-1	173	-77
Bcl2l11	6	6	173	673
Snd1	6	6	173	673
Cldn5	6	1	173	409
Gpr27	6	6	173	673
Npy2r	6	6	173	673
Serp1	6	6	173	673
Mapk14	6	-1	173	-77
Csnk2b	6	2	173	614
Mif	6	0	173	115
Ager	6	-1	173	-77
Slit3	6	6	173	673
Slc12a2	6	6	173	673
Cx3cl1	6	6	173	673
Braf	6	6	173	673
Stx1a	6	-2	173	-135
F2rl3	6	6	173	673
Mapk8	6	6	173	673
P2ry6	6	6	173	673
Txnip	6	-1	173	-77
Tnfsf11	6	1	173	409
Keap1	6	-1	173	-77
Slc8a2	6	6	173	673
Bmpr2	6	6	173	673
Cacng8	6	6	173	673
Trim63	6	6	173	673
Hey1	6	6	173	673
Cx3cr1	6	1	173	409
Angptl2	6	1	173	409
Trpm4	6	6	173	673
Trpm8	6	6	173	673
Dkk3	6	6	173	673
Socs1	6	6	173	673
Cacna1b	6	6	173	673
Aurka	6	6	173	673
Chit1	6	6	173	673
Trim27	6	6	173	673
Trdmt1	6	6	173	673
Foxo3	6	0	173	115
Jph2	6	6	173	673
Galt	6	6	173	673
Sirt6	6	0	173	115
Foxo4	6	0	173	115
Rubcn	6	6	173	673
Usp25	6	6	173	673
Kdm5b	6	6	173	673
Usp47	6	6	173	673
Vkorc1	6	6	173	673
Rela	6	-2	173	-135
Rbm20	6	6	173	673
Ngf	6	1	173	409
Tet2	6	6	173	673
Ezh2	6	0	173	115
Atg7	6	6	173	673
Adipor2	6	6	173	673
Lrp6	6	6	173	673
Invs	6	6	173	673
Ski	6	6	173	673
Nlrx1	6	6	173	673
Cd2ap	6	6	173	673
Piezo1	6	-2	173	-135
Sirt2	6	-1	173	-77
Tollip	6	6	173	673
Ppp2r3a	6	-1	173	-77
Hdac4	6	6	173	673
Kdm6b	6	-1	173	-77
Rac1	6	-2	173	-135
Atg5	6	0	173	115
E2f1	6	2	173	614
Notch4	6	6	173	673
Thbs1	6	6	173	673
Gucy1a1	6	6	173	673
Ern1	6	6	173	673
Wdr26	6	6	173	673
Cxcl13	6	6	173	673
Kdm1a	6	6	173	673
Kif17	6	6	173	673
Pax7	6	6	173	673
Mir342	6	6	173	673
Mirlet7b	6	6	173	673
Mir30a	6	6	173	673
Mir103a2	6	0	173	115
Mir103a1	6	0	173	115
Mir133a1	6	6	173	673
Mir142	6	1	173	409
Mir145	6	1	173	409
Mir153	6	6	173	673
Mir186	6	6	173	673
Mir451a	6	0	173	115
Mir489	6	1	173	409
Mir224	6	6	173	673
Mir410	6	6	173	673
Mir92b	6	1	173	409
Mir146b	6	0	173	115
Mir203	6	0	173	115
Mir665	6	6	173	673
Mir9	6	6	173	673
Mir19b1	6	6	173	673
Mir134	6	6	173	673
Mir141	6	0	173	115
Mir23a	6	6	173	673
Mir30b	6	6	173	673
Mir126b	6	-2	173	-135
Mir146a	6	-1	173	-77
Mir497	6	6	173	673
Mir181d	6	6	173	673
Mir708	6	6	173	673
Mpc2	6	6	173	673
Agtr1a	5	-1	342	-54
Calca	5	-2	342	-246
Camk2d	5	-1	342	-54
Gad1	5	-1	342	-54
Gad2	5	5	342	504
Htr1a	5	0	342	240
Il6	5	-3	342	-304
Itgb1	5	5	342	504
Muc2	5	5	342	504
Neu1	5	5	342	504
Nos1	5	-1	342	-54
Abcb1b	5	-1	342	-54
Ppp2ca	5	5	342	504
Tgfa	5	5	342	504
Tpi1	5	5	342	504
Dmd	5	5	342	504
Cd4	5	5	342	504
Fgfr2	5	5	342	504
Mas1	5	0	342	240
Bmp4	5	-2	342	-246
Comp	5	-1	342	-54
Fgf1	5	5	342	504
Mat1a	5	5	342	504
Tnfrsf11b	5	0	342	240
Atf3	5	5	342	504
Cyp1b1	5	5	342	504
Fgf9	5	5	342	504
Hcrtr1	5	-3	342	-304
Syt1	5	5	342	504
Ntf4	5	5	342	504
Tnni3	5	5	342	504
Gap43	5	0	342	240
Gdf11	5	5	342	504
Mapt	5	-4	342	-324
Pde3b	5	5	342	504
Ptgs2	5	-3	342	-304
Aldh2	5	-2	342	-246
Tgfbr1	5	-3	342	-304
Kcnj10	5	-1	342	-54
Grem1	5	5	342	504
Nr4a2	5	-1	342	-54
Stk39	5	0	342	240
Ntrk1	5	5	342	504
Shank3	5	1	342	445
Erbb4	5	-2	342	-246
Cd14	5	5	342	504
Dusp10	5	5	342	504
Ndrg4	5	5	342	504
Entpd2	5	5	342	504
Adcy3	5	5	342	504
Serpina5	5	5	342	504
Ppp5c	5	5	342	504
Fstl1	5	5	342	504
Hmox2	5	-1	342	-54
Nr4a1	5	0	342	240
Gas5	5	-1	342	-54
Pde1c	5	5	342	504
Rock1	5	-1	342	-54
Kcnma1	5	-2	342	-246
Lgals3	5	-1	342	-54
Src	5	-2	342	-246
Dclk1	5	5	342	504
Sf3b1	5	5	342	504
Hdac2	5	5	342	504
Hdac3	5	5	342	504
Mpp2	5	5	342	504
Shc1	5	-1	342	-54
Nrg1	5	-2	342	-246
Rtn4r	5	5	342	504
Nox1	5	0	342	240
Slc5a5	5	5	342	504
Cdkn1a	5	5	342	504
Mapk1	5	-1	342	-54
Dusp6	5	-1	342	-54
Il1r2	5	0	342	240
Slc15a1	5	5	342	504
Sox9	5	5	342	504
Olr1	5	5	342	504
Fgf12	5	5	342	504
Abcc4	5	5	342	504
Dusp5	5	5	342	504
Grin3a	5	5	342	504
Cenpf	5	5	342	504
Hspa4	5	1	342	445
Lap3	5	5	342	504
Tti2	5	5	342	504
E2f3	5	0	342	240
Mki67	5	5	342	504
Slc39a12	5	-3	342	-304
Wwp2	5	5	342	504
Pdcd5	5	5	342	504
Mcm3ap	5	5	342	504
Mettl14	5	5	342	504
Foxp1	5	5	342	504
Hdac1	5	-1	342	-54
Map4k4	5	5	342	504
Gpr143	5	5	342	504
Rhot1	5	5	342	504
Smurf2	5	5	342	504
Olig2	5	5	342	504
Gli2	5	5	342	504
Sh3bp2	5	5	342	504
Pik3ip1	5	5	342	504
Sacs	5	5	342	504
Ptpn20	5	5	342	504
Mib1	5	5	342	504
Zfp580	5	5	342	504
Otud7b	5	-1	342	-54
Stk4	5	-1	342	-54
Abcg2	5	-1	342	-54
Cyld	5	-2	342	-246
RGD1359108	5	5	342	504
Stk11	5	5	342	504
Slc19a3	5	5	342	504
Usp7	5	5	342	504
Stim1	5	-3	342	-304
Creb3l1	5	5	342	504
Rnf149	5	5	342	504
Ikbke	5	5	342	504
Leap2	5	5	342	504
Pkd2	5	5	342	504
Gdf3	5	5	342	504
Ybx1	5	5	342	504
Setd7	5	-1	342	-54
Tug1	5	-3	342	-304
Mir25	5	5	342	504
Mir27b	5	5	342	504
Mir27a	5	-2	342	-246
Mir29b2	5	-2	342	-246
Mir29b1	5	-2	342	-246
Mir107	5	5	342	504
Mir1	5	0	342	240
Mir674	5	0	342	240
Mir322	5	5	342	504
Mir129-1	5	1	342	445
Mir672	5	5	342	504
Mir335	5	-1	342	-54
Mir33	5	1	342	445
Mir340-1	5	-2	342	-246
Mir100	5	5	342	504
Mir199a2	5	-1	342	-54
Fbxw7	5	5	342	504
Mir322-2	5	5	342	504
Mir193b	5	5	342	504
Mir29b-3	5	5	342	504
Tincr	5	0	342	240
Agt	4	-2	488	-200
Ets1	4	4	488	358
Adrb1	4	4	488	358
Cacna2d1	4	4	488	358
Crp	4	4	488	358
Lgals5	4	4	488	358
Nedd4	4	4	488	358
P2ry2	4	-3	488	-392
Pdcd4	4	-3	488	-392
Slc22a4	4	4	488	358
Dlg2	4	4	488	358
Aldh1l1	4	4	488	358
Senp2	4	4	488	358
Pias2	4	4	488	358
Hcn2	4	-2	488	-200
Abcb1a	4	-2	488	-200
Rph3a	4	4	488	358
Hopx	4	4	488	358
Slc12a5	4	-3	488	-392
Cyp2d1	4	4	488	358
Lrp5	4	-3	488	-392
Sumo1	4	4	488	358
Kdm3a	4	4	488	358
Gpr68	4	4	488	358
Ehmt2	4	-3	488	-392
Ucn3	4	4	488	358
Mir99a	4	4	488	358
Mir130b	4	4	488	358
Mir379	4	4	488	358
Mir455	4	-2	488	-200
Mir185	4	-1	488	94
Mir709	4	4	488	358
Kcna1	3	3	520	326
Glp1r	3	-4	520	-424
Pttg1	3	3	520	326
Dlk1	3	3	520	326
Agtr2	0	-4	521	266
Ak1	0	-8	521	-483
Ar	0	-6	521	-233
Atp1a1	0	-6	521	-233
Cacna1c	0	-7	521	-425
Cebpa	0	-6	521	-233
Comt	0	-7	521	-425
Drd2	0	-7	521	-425
Ednra	0	-5	521	61
Egfr	0	-5	521	61
Grin2a	0	-11	521	-512
Nr3c1	0	-5	521	61
Grm4	0	-5	521	61
Grm5	0	-7	521	-425
Hrh1	0	-5	521	61
Hspa8	0	-6	521	-233
Hspb1	0	-5	521	61
Iapp	0	-4	521	266
Il3	0	-6	521	-233
Mst1	0	-6	521	-233
Pdgfrb	0	-5	521	61
Pkd1	0	-6	521	-233
Plcb1	0	-6	521	-233
Pmp22	0	-6	521	-233
Prkca	0	-6	521	-233
Prkcg	0	-5	521	61
Ptgs1	0	-4	521	266
Raf1	0	-6	521	-233
Ren	0	-5	521	61
Ret	0	-7	521	-425
Rho	0	-6	521	-233
Cxcl12	0	-6	521	-233
Sftpa1	0	-4	521	266
Slc9a1	0	-4	521	266
Sod2	0	-7	521	-425
Sparc	0	-7	521	-425
Vamp2	0	-6	521	-233
