gene_symbol	chromosome	start	length	color	full_name	days_in_timeframe	timeframe_citation_count	previous_timeframe_citation_count	citation_count_delta	significance	gene_rank	previous_gene_rank	rank_delta
BDNF	D1	84257819	743	#73af42	brain derived neurotrophic factor	30	0	0	0		3	9	-6
CXCR4	C1	130088796	3800	#73af42	C-X-C motif chemokine receptor 4	30	0	0	0		3	9	-6
CCL17	E2	36523719	2366	#73af42	C-C motif chemokine ligand 17	30	0	0	0		3	9	-6
CCL5	E1	23276060	6939	#73af42	C-C motif chemokine ligand 5	30	0	0	0		3	9	-6
SAA1	D1	32551	2577	#73af42	serum amyloid A1	30	0	0	0		3	9	-6
LPL	B1	38074339	24121	#73af42	lipoprotein lipase	30	0	0	0		3	9	-6
EFNB2	A1	77088367	41777	#73af42	ephrin B2	30	0	0	0		3	9	-6
SERBP1	C1	56124422	14278	#73af42	SERPINE1 mRNA binding protein 1	30	0	0	0		3	9	-6
FELCATV1R2	A1	91725272	902	#73af42	vomeronasal 1 receptor felCatV1R2	30	0	0	0		3	9	-6
CSF2	A1	111190387	1903	#73af42	colony stimulating factor 2	30	0	0	0		3	9	-6
MDM2	B4	95878219	26798	#73af42	MDM2 proto-oncogene	30	0	0	0		3	9	-6
GDF9	A1	111946495	3014	#73af42	growth differentiation factor 9	30	0	0	0		3	9	-6
TRIM25	E1	31784702	20349	#73af42	tripartite motif containing 25	30	0	0	0		3	9	-6
PIM1	B2	38465654	4260	#73af42	Pim-1 proto-oncogene, serine/threonine kinase	30	0	0	0		3	9	-6
HTR1B	B2	72454238	1169	#73af42	5-hydroxytryptamine receptor 1B	30	0	0	0		3	9	-6
CUL4B	X	101077538	35466	#73af42	cullin 4B	30	0	0	0		3	9	-6
F12	A1	175374296	8074	#73af42	coagulation factor XII	30	0	0	0		3	9	-6
IL2	B1	104012920	6011	#73af42	interleukin 2	30	0	0	0		3	9	-6
HAVCR1	A1	193037230	19851	#73af42	hepatitis A virus cellular receptor 1	30	0	0	0		3	9	-6
ADRB2	A1	200182786	1256	#73af42	adrenoceptor beta 2	30	0	0	0		3	9	-6
QKI	B2	149648333	153978	#73af42	QKI, KH domain containing RNA binding	30	0	0	0		3	9	-6
NPPB	C1	8677086	1475	#73af42	natriuretic peptide B	30	0	0	0		3	9	-6
RHO	A2	53955074	5763	#73af42	rhodopsin	30	0	0	0		3	9	-6
TNNI3	E2	3446804	3251	#73af42	troponin I3, cardiac type	30	0	0	0		3	9	-6
BST2	A2	12866725	1843	#73af42	bone marrow stromal cell antigen 2	30	0	0	0		3	9	-6
G6PC		43389679	8632	#73af42		30	0	0	0		-1	-1	-1
CCR1	A2	15803649	1082	#73af42	C-C motif chemokine receptor 1	30	0	0	0		3	9	-6
CCR3	A2	15842455	1085	#73af42	C-C motif chemokine receptor 3	30	0	0	0		3	9	-6
CCR2	A2	15923670	1121	#73af42	C-C motif chemokine receptor 2	30	0	0	0		3	9	-6
CCR5	A2	15935968	1058	#73af42	C-C motif chemokine receptor 5	30	0	0	0		3	9	-6
MAP4	A2	17213825	127959	#73af42	microtubule associated protein 4	30	0	0	0		3	9	-6
UBA7	A2	18814622	8806	#73af42	ubiquitin like modifier activating enzyme 7	30	0	0	0		3	9	-6
F9	X	117080317	31511	#73af42	coagulation factor IX	30	0	0	0		3	9	-6
ADRB1	D2	73094179	1424	#73af42	adrenoceptor beta 1	30	0	0	0		3	9	-6
CEP290	B4	112515550	92329	#73af42	centrosomal protein 290	30	0	0	0		3	9	-6
LOC493739	D4	75146980	4330	#73af42	Fel d 4 allergen	30	0	0	0		3	9	-6
GCK	A2	62436427	39722	#73af42	glucokinase	30	0	0	0		3	9	-6
IL1A	A3	105113201	8008	#73af42	interleukin 1 alpha	30	0	0	0		3	9	-6
TRIM8	D2	63053506	12962	#73af42	tripartite motif containing 8	30	0	0	0		3	9	-6
CDKN2A	D4	48177509	6292	#73af42	cyclin dependent kinase inhibitor 2A	30	0	0	0		3	9	-6
SIRT1	D2	31117179	27255	#73af42	sirtuin 1	30	0	0	0		3	9	-6
KITLG	B4	112958775	79653	#73af42	KIT ligand	30	0	0	0		3	9	-6
SLC26A5	A2	82900395	25911	#73af42	solute carrier family 26 member 5	30	0	0	0		3	9	-6
PEG10	A2	99685396	9173	#73af42	paternally expressed 10	30	0	0	0		3	9	-6
IL6	A2	116633468	3942	#73af42	interleukin 6	30	0	0	0		3	9	-6
FOXP2	A2	134592694	259886	#73af42	forkhead box P2	30	0	0	0		3	9	-6
TES	A2	136235266	46857	#73af42	testin LIM domain protein	30	0	0	0		3	9	-6
IL1B	A3	105050630	5777	#73af42	interleukin 1 beta	30	0	0	0		3	9	-6
TFF3	C2	3784776	3041	#73af42	trefoil factor 3	30	0	0	0		3	9	-6
CTTNBP2	A2	137671339	151083	#73af42	cortactin binding protein 2	30	0	0	0		3	9	-6
DAG1	A2	18564403	18179	#73af42	dystroglycan 1	30	0	0	0		3	9	-6
ST7	A2	136928941	249118	#73af42	suppression of tumorigenicity 7	30	0	0	0		3	9	-6
ARSB	A1	145138361	167977	#73af42	arylsulfatase B	30	0	0	0		3	9	-6
CFTR	A2	137407716	188708	#73af42	CF transmembrane conductance regulator	30	0	0	0		3	9	-6
UBA52	A2	13745786	2033	#73af42	ubiquitin A-52 residue ribosomal protein fusion product 1	30	0	0	0		3	9	-6
CTSW	D1	110949433	3355	#73af42	cathepsin W	30	0	0	0		3	9	-6
RPL17	D3	71443132	3048	#73af42	ribosomal protein L17	30	0	0	0		3	9	-6
RPL24	C2	49473539	4782	#73af42	ribosomal protein L24	30	0	0	0		3	9	-6
